dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub034/CA-03_02_11_2016_CA-03_0019173.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_02_11_2016_CA-03_0019173.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_02_11_2016_CA-03_0019173.jpg,NACTI : CA-03_02_11_2016_CA-03_0019173.jpg,NACTI : unknown,NACTI : lebec_CA-03,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59b48584-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59b48584-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59b48584-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59b48584-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 7018efe8-5567-11e8-99db-dca9047ef277,Caltech Camera Traps : 14,3,bobcat,lynx rufus,bobcat,09-09-2013 01:00:31,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_06_08_2016_CA-08_0012569.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_06_08_2016_CA-08_0012569.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_06_08_2016_CA-08_0012569.JPG,NACTI : CA-08_06_08_2016_CA-08_0012569.JPG,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/593a4e64-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/593a4e64-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/593a4e64-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 593a4e64-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f1df27a-5567-11e8-a59c-dca9047ef277,Caltech Camera Traps : 100,1,bobcat,lynx rufus,bobcat,12-21-2010 04:54:48,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003109.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003109.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003109.jpg,NACTI : CA-08_08_04_2015_CA-08_0003109.jpg,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/597514b5-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/597514b5-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/597514b5-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 597514b5-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f184968-5567-11e8-bf96-dca9047ef277,Caltech Camera Traps : 46,3,bobcat,lynx rufus,bobcat,02-06-2012 01:42:58,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59ddbfe2-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59ddbfe2-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59ddbfe2-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59ddbfe2-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f073d80-5567-11e8-93fd-dca9047ef277,Caltech Camera Traps : 7,2,bobcat,lynx rufus,bobcat,12-30-2011 12:45:19,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub034/CA-03_04_06_2016_CA-03_0019708.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_04_06_2016_CA-03_0019708.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_04_06_2016_CA-03_0019708.JPG,NACTI : CA-03_04_06_2016_CA-03_0019708.JPG,NACTI : unknown,NACTI : lebec_CA-03,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_06_08_2016_CA-08_0012731.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_06_08_2016_CA-08_0012731.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_06_08_2016_CA-08_0012731.JPG,NACTI : CA-08_06_08_2016_CA-08_0012731.JPG,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub022/2015_Unit145_Ivan040_img0070.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub022/2015_Unit145_Ivan040_img0070.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub022/2015_Unit145_Ivan040_img0070.jpg,NACTI : 2015_Unit145_Ivan040_img0070.jpg,NACTI : unknown,NACTI : sanjuan_2015_Unit145_Ivan040,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0001418.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0001418.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0001418.jpg,NACTI : CA-09_08_13_2015_CA-09_0001418.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5971fa4d-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5971fa4d-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5971fa4d-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5971fa4d-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0b738f-5567-11e8-9137-dca9047ef277,Caltech Camera Traps : 43,1,bobcat,lynx rufus,bobcat,10-10-2011 03:58:27,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/591fd291-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/591fd291-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/591fd291-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 591fd291-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0d3c28-5567-11e8-9f60-dca9047ef277,Caltech Camera Traps : 130,2,bobcat,lynx rufus,bobcat,12-27-2011 12:27:28,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59b484aa-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59b484aa-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59b484aa-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59b484aa-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f125eb0-5567-11e8-bd39-dca9047ef277,Caltech Camera Traps : 28,2,bobcat,lynx rufus,bobcat,04-20-2011 20:39:03,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5965a8cb-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5965a8cb-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5965a8cb-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5965a8cb-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0b357a-5567-11e8-b72e-dca9047ef277,Caltech Camera Traps : 43,1,bobcat,lynx rufus,bobcat,08-14-2011 08:05:21,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/58946060-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/58946060-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/58946060-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 58946060-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 70167e70-5567-11e8-a8bb-dca9047ef277,Caltech Camera Traps : 94,1,bobcat,lynx rufus,bobcat,11-09-2013 07:04:20,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a0c9b4b-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a0c9b4b-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a0c9b4b-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a0c9b4b-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 70188af8-5567-11e8-a720-dca9047ef277,Caltech Camera Traps : 59,2,bobcat,lynx rufus,bobcat,11-06-2014 19:02:10,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003106.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003106.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003106.jpg,NACTI : CA-08_08_04_2015_CA-08_0003106.jpg,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_08_10_2016_CA-09_0010333.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_10_2016_CA-09_0010333.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_10_2016_CA-09_0010333.JPG,NACTI : CA-09_08_10_2016_CA-09_0010333.JPG,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-08_10_11_2016_CA-08_0014155.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-08_10_11_2016_CA-08_0014155.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-08_10_11_2016_CA-08_0014155.JPG,NACTI : CA-08_10_11_2016_CA-08_0014155.JPG,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5858bf24-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5858bf24-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5858bf24-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5858bf24-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0e1cc2-5567-11e8-904b-dca9047ef277,Caltech Camera Traps : 107,3,bobcat,lynx rufus,bobcat,04-24-2012 18:58:08,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/58ff0eec-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/58ff0eec-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/58ff0eec-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 58ff0eec-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6efd66e8-5567-11e8-8e54-dca9047ef277,Caltech Camera Traps : 75,3,bobcat,lynx rufus,bobcat,11-30-2011 11:37:11,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59b61525-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59b61525-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59b61525-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59b61525-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f16a5c5-5567-11e8-9eb6-dca9047ef277,Caltech Camera Traps : 46,2,bobcat,lynx rufus,bobcat,06-11-2011 19:41:25,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_08_10_2016_CA-09_0009999.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_10_2016_CA-09_0009999.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_10_2016_CA-09_0009999.JPG,NACTI : CA-09_08_10_2016_CA-09_0009999.JPG,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5950053b-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5950053b-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5950053b-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5950053b-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 701dc478-5567-11e8-9560-dca9047ef277,Caltech Camera Traps : 68,2,bobcat,lynx rufus,bobcat,12-22-2013 18:04:59,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5906f304-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5906f304-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5906f304-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5906f304-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f15d2c0-5567-11e8-980d-dca9047ef277,Caltech Camera Traps : 125,1,bobcat,lynx rufus,bobcat,07-17-2011 14:43:41,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59b937af-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59b937af-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59b937af-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59b937af-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f075dee-5567-11e8-9b5e-dca9047ef277,Caltech Camera Traps : 7,3,bobcat,lynx rufus,bobcat,02-13-2012 23:17:55,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-08_12_08_2015_CA-08_0006740.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-08_12_08_2015_CA-08_0006740.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-08_12_08_2015_CA-08_0006740.jpg,NACTI : CA-08_12_08_2015_CA-08_0006740.jpg,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59e77bc8-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59e77bc8-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59e77bc8-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59e77bc8-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f130a40-5567-11e8-90c2-dca9047ef277,Caltech Camera Traps : 58,3,bobcat,lynx rufus,bobcat,08-05-2011 04:40:58,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a02fc06-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a02fc06-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a02fc06-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a02fc06-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 700b08e3-5567-11e8-83a6-dca9047ef277,Caltech Camera Traps : 0,1,bobcat,lynx rufus,bobcat,07-15-2011 01:17:00,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003163.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003163.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0003163.jpg,NACTI : CA-08_08_04_2015_CA-08_0003163.jpg,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub034/CA-03_02_11_2016_CA-03_0019485.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_02_11_2016_CA-03_0019485.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_02_11_2016_CA-03_0019485.jpg,NACTI : CA-03_02_11_2016_CA-03_0019485.jpg,NACTI : unknown,NACTI : lebec_CA-03,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000569.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000569.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000569.jpg,NACTI : CA-09_04_06_2015_CA-09_0000569.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub035/CA-03_08_13_2015_CA-03_0007709.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub035/CA-03_08_13_2015_CA-03_0007709.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub035/CA-03_08_13_2015_CA-03_0007709.jpg,NACTI : CA-03_08_13_2015_CA-03_0007709.jpg,NACTI : unknown,NACTI : lebec_CA-03,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
